intitule_cours,type_cours,groupe_eleve,code_cours,date,date_only,heure,jour_semaine,civilité,code_eleve,groupes
Algo.et Types abstrait 1,CMTD,G2,XA1S511C,01/12/2025 08:00,2025-12-01,08:00:00,lundi,Ingé Informatique 3ème année,22514023,"IG3-TP2, IG3-TD2, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,10/10/2025 14:00,2025-10-10,14:00:00,vendredi,Ingé Informatique 3ème année,22203372,"IG3-TP1, IG3-TD1, IG3-TOUS"
Projet C,PROJ,G1,XA1S506C,25/11/2025 08:00,2025-11-25,08:00:00,mardi,Ingé Informatique 3ème année,22203372,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,24/09/2025 08:45,2025-09-24,08:45:00,mercredi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,24/09/2025 10:30,2025-09-24,10:30:00,mercredi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,07/10/2025 09:45,2025-10-07,09:45:00,mardi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,08/10/2025 08:00,2025-10-08,08:00:00,mercredi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,10/10/2025 14:00,2025-10-10,14:00:00,vendredi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,14/10/2025 08:00,2025-10-14,08:00:00,mardi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Optim science données,CMTD,G1,XA1S524C,14/10/2025 09:45,2025-10-14,09:45:00,mardi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,15/10/2025 09:45,2025-10-15,09:45:00,mercredi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,17/10/2025 08:00,2025-10-17,08:00:00,vendredi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Maths pour info,CMTD,G1,XA1S522C,24/10/2025 08:00,2025-10-24,08:00:00,vendredi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Modélisation et stat,CMTD,G1,XA1S523C,24/10/2025 14:00,2025-10-24,14:00:00,vendredi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,24/10/2025 15:45,2025-10-24,15:45:00,vendredi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Algo.et Types abstrait 1,CMTD,G1,XA1S511C,03/11/2025 11:30,2025-11-03,11:30:00,lundi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
Fondamentaux BD relat.,CMTD,G1,XA1S514C,03/11/2025 15:45,2025-11-03,15:45:00,lundi,Ingé Informatique 3ème année,22306306,"IG3-TP1, IG3-TD1, IG3-TOUS"
