code_cours,type_cours,date_only,heure,jour_semaine,code_civilité,groupe_eleve,code_eleve
XA1S705C,TP,2025-12-03,09:45:00,mercredi,DaMS4,G1,22208599
XA1S735C,TD,2025-10-14,08:00:00,mardi,DaMS4,G1,22205466
XA1S735C,TD,2025-11-04,08:00:00,mardi,DaMS4,G1,22205466
XA1S735C,TD,2025-11-25,08:00:00,mardi,DaMS4,G2,22414812
XA1S705C,TP,2025-12-03,08:00:00,mercredi,DaMS4,G2,22414812
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22414838
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22414922
XA1S735C,TD,2025-11-25,08:00:00,mardi,DaMS4,G1,22414922
XA1S705C,TP,2025-12-03,09:45:00,mercredi,DaMS4,G1,22414922
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22406136
XA1S735C,TD,2025-09-30,08:00:00,mardi,DaMS4,G1,22406136
XA1S735C,TD,2025-09-23,08:00:00,mardi,DaMS4,G2,22412601
XA1S735C,TD,2025-09-23,09:45:00,mardi,DaMS4,G2,22412601
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22201339
XA1S705C,TP,2025-12-03,08:00:00,mercredi,DaMS4,G2,22201339
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22202946
XA1S735C,TD,2025-09-23,08:00:00,mardi,DaMS4,G2,22410721
XA1S705C,TD,2025-11-18,08:00:00,mardi,DaMS4,G2,22410721
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22415685
XA1S735C,TD,2025-09-30,08:00:00,mardi,DaMS4,G2,22208515
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22415343
XA1S735C,TD,2025-11-25,08:00:00,mardi,DaMS4,G2,22415343
XA1S735C,TD,2025-11-25,09:45:00,mardi,DaMS4,G2,22415343
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22201278
XA1S705C,TD,2025-11-18,08:00:00,mardi,DaMS4,G2,22201278
XA1S705C,TP,2025-12-03,08:00:00,mercredi,DaMS4,G2,22201278
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22415441
XA1S735C,TD,2025-11-25,08:00:00,mardi,DaMS4,G1,22415441
XA1S735C,TD,2025-11-25,09:45:00,mardi,DaMS4,G1,22415441
XA1S735C,TD,2025-09-30,08:00:00,mardi,DaMS4,G2,22509308
XA1S735C,TD,2025-09-30,09:45:00,mardi,DaMS4,G2,22509308
XA1S735C,TD,2025-09-30,08:00:00,mardi,DaMS4,G2,22204811
XA1S735C,TD,2025-10-07,08:00:00,mardi,DaMS4,G2,22204811
XA1S735C,TD,2025-10-07,09:45:00,mardi,DaMS4,G2,22204811
XA1S735C,TD,2025-11-04,08:00:00,mardi,DaMS4,G2,22204811
XA1S705C,TD,2025-11-18,08:00:00,mardi,DaMS4,G2,22204811
XA1S705C,TP,2025-12-03,08:00:00,mercredi,DaMS4,G2,22204811
XA1S735C,TD,2025-11-04,08:00:00,mardi,DaMS4,G1,22509153
XA1S710C,CM,2025-09-17,14:30:00,mercredi,DaMS4,,22315558
XA1S735C,TD,2025-11-04,08:00:00,mardi,DaMS4,G1,22315558
XA1S735C,TD,2025-11-04,09:45:00,mardi,DaMS4,G1,22315558
